,Ticker,CIK,10-K Report Date,Notes Link,10-K Report URL
183,GOOG,0001652044,000165204417000008,https://www.sec.gov/Archives/edgar/data/0001652044/000165204417000008/R65.htm,https://www.sec.gov/Archives/edgar/data/0001652044/0001652044-17-000008.txt
184,GOOG,0001652044,000165204416000012,https://www.sec.gov/Archives/edgar/data/0001652044/000165204416000012/R14.htm,https://www.sec.gov/Archives/edgar/data/0001652044/0001652044-16-000012.txt
185,GOOG,0001652044,000165204416000012,https://www.sec.gov/Archives/edgar/data/0001652044/000165204416000012/R61.htm,https://www.sec.gov/Archives/edgar/data/0001652044/0001652044-16-000012.txt
186,GOOG,0001652044,000165204416000012,https://www.sec.gov/Archives/edgar/data/0001652044/000165204416000012/R64.htm,https://www.sec.gov/Archives/edgar/data/0001652044/0001652044-16-000012.txt
187,GOOG,0001652044,000165204416000012,https://www.sec.gov/Archives/edgar/data/0001652044/000165204416000012/R65.htm,https://www.sec.gov/Archives/edgar/data/0001652044/0001652044-16-000012.txt
188,GRPN,0001490281,000149028120000021,https://www.sec.gov/Archives/edgar/data/0001490281/000149028120000021/R57.htm,https://www.sec.gov/Archives/edgar/data/0001490281/0001490281-20-000021.txt
189,GRPN,0001490281,000149028120000021,https://www.sec.gov/Archives/edgar/data/0001490281/000149028120000021/R58.htm,https://www.sec.gov/Archives/edgar/data/0001490281/0001490281-20-000021.txt
190,GRPN,0001490281,000149028119000014,https://www.sec.gov/Archives/edgar/data/0001490281/000149028119000014/R53.htm,https://www.sec.gov/Archives/edgar/data/0001490281/0001490281-19-000014.txt
191,GRPN,0001490281,000149028119000014,https://www.sec.gov/Archives/edgar/data/0001490281/000149028119000014/R54.htm,https://www.sec.gov/Archives/edgar/data/0001490281/0001490281-19-000014.txt
192,GRPN,0001490281,000149028118000018,https://www.sec.gov/Archives/edgar/data/0001490281/000149028118000018/R52.htm,https://www.sec.gov/Archives/edgar/data/0001490281/0001490281-18-000018.txt
